ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
32,Asian Star Building  ,IT Center,Operating,"Lots 1&2, Block 2, Phase 1, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
33,ATC BPO 1 ,IT Center,Operating,"Madrigal Avenue, Alabang Town Center, Barangay Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
34,Avecshares Center  ,IT Center,Operating,"1132 University Parkway, North Bonifacio Triangle, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
35,Avenir,IT Center,Operating,"Archbishop Reyes Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
36,Ayala Business Center ,IT Center,Operating,"Matina Town Square, Matina, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
37,Ayala North Exchange [Formerly Makati Gateway],IT Center,Operating,"Ayala Avenue corner Salcedo and Amorsolo Streets, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
38,Bacolod Capitol Corporate Center [Formerly Ayala North Point TechnoHub],IT Park,Operating,"Barangay Zone 15, Talisay City, Negros Occidental",Talisay City,Talisay,PH051611000,Camarines Norte,PH051600000,Region V,PH050000000
39,Bagong Nayong Pilipino – Entertainment City Manila,Tourism,Operating,"Bay City Project, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
40,Baguio City Economic Zone,Manufacturing,Operating,"Loakan Road, Baguio City, Benguet Province",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
41,BA-Lepanto Building  ,IT Center,Operating,"8747 Paseo de Roxas, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
42,Balo-I Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Maria Cristina, Balo-i, Lanao del Norte",Balo-i,Anao,PH036901000,Tarlac,PH036900000,Region III,PH030000000
43,Batangas Racing Circuit Tourism Estate,Tourism,Operating,"Maligaya, Rosario, Batangas",Rosario,Rosario,PH160307000,Agusan del Sur,PH160300000,Region XIII,PH160000000
44,Belle Grande Manila Bay,Tourism,Operating,"Aseana Business Park, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
45,Benedicto I.T. Center  ,IT Center,Operating,"A.S. Fortune St., Bakilid, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
46,BGC Corporate Center,IT Center,Operating,"11th Avenue corner 30th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
47,BGC Corporate Center 2,IT Center,Operating,"Block 1, 30th Street corner 5th Avenue, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
48,Bigfoot Information Technology Park ,IT Park,Operating,"Barangay Mactan, Lapu-Lapu City, Island of Mactan",Island of Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
49,Blue Wave Marikina IT Center ,IT Center,Operating,"Sumulong Highway cor. G. Fernando, Marikina City",Marikina City,City of Marikina,PH137402000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
50,Boracay Eco-Village Resort Tourism Economic Zone,Tourism,Operating,"Yapak, Boracay Island, Malay, Aklan",Aklan,Malay,PH060412000,Aklan,PH060400000,Region VI,PH060000000
51,BPI Buendia Center  ,IT Center,Operating,"Sen. Gil Puyat Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
52,Bridgetowne (formerly Robinsons Business Park),IT Park,Operating,"Along C-5 Road, Ugong Norte, Quezon City",Ugong Norte,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
53,Brooke’s Point Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Tubtub, Brooke’s Point, Palawan",Palawan,Brooke's Point,PH175306000,Palawan,PH175300000,Region IV-B,PH170000000
54,BTTC Center ,IT Center,Operating,"Lot 17, Block 12, Ortigas Avenue cor. Roosevelt Street, Barangay Greenhills, San Juan City",San Juan City,San Juan,PH140122000,Abra,PH140100000,Cordillera Administrative Region,PH140000000
55,Bukidnon Agro-Resources Export Zone,Agro-Industrial,Operating,"Barangay Agusan Canyon, Manolo Fortich, Bukidnon",Manolo Fortich,Manolo Fortich,PH101314000,Bukidnon,PH101300000,Region X,PH100000000
56,Burgundy Corporate Tower ,IT Center,Operating,"252 Sen. Gil Puyat Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
57,C55 Realty Corp. Building,IT Center,Operating,"Barangay Matina Aplaya, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
58,Calamba Premiere International Park,Manufacturing,Operating,"Batino, Parian and Barandal, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
59,Camarines Sur Information Technology Park ,IT Park,Operating,"Capitol Complex, Cadlan, Pili, Camarines Sur",Pili,Pili,PH051728000,Camarines Sur,PH051700000,Region V,PH050000000
60,Candelaria Agri Special Economic Zone,Agro-Industrial,Operating,"Barangay Mangilag Sur, Candelaria, Quezon",Candelaria,Candelaria,PH045608000,Quezon,PH045600000,Region IV-A,PH040000000
61,Capella IT Center,IT Center,Operating,"Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
62,Carmelray Industrial Park ,Manufacturing,Operating,"Canlubang, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
63,Carmelray Industrial Park II,Manufacturing,Operating,"Punta & Tulo, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
64,Carmelray International Business Park ,Manufacturing,Operating,"Canlubang, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
65,Carmen Cebu Gum Industrial Zone,Agro-Industrial,Operating,"Cogon West, Carmen, Cebu City",Carmen,Carmen,PH166806000,Surigao del Sur,PH166800000,Region XIII,PH160000000
66,Cavite Biofuels Ecozone,Agro-Industrial,Operating,"Barangay Caluangan, Municipality of Magallanes, Province of Cavite ",Municipality of Magallanes,Magallanes,PH160208000,Agusan del Norte,PH160200000,Region XIII,PH160000000
67,Cavite Economic Zone,Manufacturing,Operating,"Rosario, Cavite",Cavite,Cavite City,PH042105000,Cavite,PH042100000,Region IV-A,PH040000000
68,Cavite Economic Zone II,Manufacturing,Operating,"Bacao, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000
69,Cavite Technopark-Special Economic Zone,Manufacturing,Operating,"Barangay Sabang, Naic, Cavite ",Naic,Naic,PH042115000,Cavite,PH042100000,Region IV-A,PH040000000
70,CBP-IT Park,IT Park,Operating,"Barangays Mabolo, Luz, Hipodromo, Carreta, and Kamputhaw, Cebu City",and Kamputhaw,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
71,Cebu Exchange,IT Center,Operating,"Barangay Lahug, Cebu City ",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
72,Cebu I.T. Park    ,IT Park,Operating,"Lahug and Apas, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
73,Cebu I.T. Tower ,IT Center,Operating,"Corner Mindanao and Bohol Streets, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
74,Cebu Light Industrial Park,Manufacturing,Operating,"Basak, Lapu-lapu City, Mactan, Cebu",Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
75,Cebu South Road Properties,Manufacturing,Operating,"South Reclamation Project, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
76,Central Technopark,Manufacturing,Operating,"San Miguel, Tarlac",Tarlac,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000
77,Centrio Corporate Center  ,IT Center,Operating,"C. M. Recto Avenue and Corrales Street, Cagayan de Oro City ",Cagayan de Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
78,Century City,IT Park,Operating,"Kalayaan Avenue corner Salamanca Street, Barangay Poblacion, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
79,CIIF Agro-Industrial Park,Manufacturing,Operating,"Barangay Kiwalan, Iligan City, Lanao del Norte",Iligan City,Iligan City,PH103504000,Lanao del Norte,PH103500000,Region X,PH100000000
80,CIIF Agro-Industrial Park – Cagayan,Agro-Industrial,Operating,"Purok 3, Tablon, Cagayan de Oro City",Tablon,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
81,CIIF Agro-Industrial Park - Davao,Agro-Industrial,Operating,"KM 9.5, Barangay Sasa, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
82,Citynet Central  ,IT Center,Operating,"Sultan Street, Barangay Highway Hills, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
83,CityNet1  ,IT Center,Operating,"183 EDSA near corner Ortigas Ave., Wack-Wack, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
84,Clark Special Economic Zone ,Manufacturing,Operating,"Angeles City, Municipalities of Mabalacat and Porac, Pampanga and the Municipalities of Capas and Bamban, Tarlac",Pampanga and the Municipalities of Capas and Bamban,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000
85,Clark TI Special Economic Zone,Manufacturing,Operating,"Clark Freeport Zone located at Angeles City and the Municipality of Mabalacat, Pampanga",Pampanga,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000
86,Cocochem Agro-Industrial Park,Manufacturing,Operating,"San Antonio, San Pascual, Batangas",San Pascual,San Pascual,PH054120000,Masbate,PH054100000,Region V,PH050000000
87,Cornerstone Business Center  ,IT Center,Operating,"Barangay San Rafael, Mandurriao, Iloilo City",Mandurriao,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
88,Crown 7 I.T. Center,IT Center,Operating,"Juan Luna Avenue, Mabolo, Cebu City, Cebu",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
89,Cyber Omega,IT Center,Operating,"Pearl Drive, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
90,Cyber Park Building One ,IT Center,Operating,"Corner General Aguinaldo Avenue and P. Tuazon  Street, Araneta Center Cubao, Quezon City",Araneta Center Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
91,Cyber Sigma (formerly Bonifacio Summit Center) ,IT Center,Operating,"Lawton Avenue, Bonifacio South, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
92,Cybergate Iloilo Towers [formerly- Robinsons Cybergate Pavia Towers],IT Center,Operating,"Barangay Ungka II, Pavia, Iloilo",Pavia,Pavia,PH063036000,Iloilo,PH063000000,Region VI,PH060000000
93,Cyberscape Alpha,IT Center,Operating," Sapphire and Garnet Roads, Ortigas Center, Pasig City ",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
94,Cyberscape Beta  ,IT Center,Operating,"Topaz and Ruby Roads, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
95,Cyberscape Gamma   ,IT Center,Operating,"Topaz and Ruby Roads, Ortigas Center, Pasig City ",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
96,DADC Economic Zone,Agro-Industrial,Operating,"Barangay Darong, Municipality of Sta. Cruz, Province of Davao del Sur",Municipality of Sta. Cruz,Santa Cruz,PH175111000,Occidental Mindoro,PH175100000,Region IV-B,PH170000000
97,Daiichi Industrial Park,Manufacturing,Operating,"Maguyam, Silang, Cavite",Silang,Silang,PH042118000,Cavite,PH042100000,Region IV-A,PH040000000
98,Damosa I.T. Park ,IT Park,Operating,"J.P. Laurel Ave. cor. Angliongto Street, Lanang, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
99,Davao Park District,IT Park,Operating,"Barangay San Antonio, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
100,DBP IT Plaza ,IT Center,Operating,"Barangay Calindagan, Dumaguete, City",City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000
101,Diliman IT Building  ,IT Center,Operating,"Commonwealth Avenue, Diliman, Quezon City",Diliman,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
102,DPC Place Building  ,IT Center,Operating,"2322 Chino Roces Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
103,"Eastbay Arts, Recreational and Tourism Zone",Tourism,Operating,"San Roque, Angono & Darangan, Binangonan, Rizal",Binangonan,Binangonan,PH045804000,Rizal,PH045800000,Region IV-A,PH040000000
104,Eastwood City CyberPark ,IT Park,Operating,"E Rodriguez, Jr. Ave., Bagumbayan, Quezon City ",Bagumbayan,Bagumbayan,PH126501000,Sultan Kudarat,PH126500000,Region XII,PH120000000
105,ECO Plaza,IT Center,Operating,"2305 Chino Roces Avenue Extension, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
106,Ecofuel Agro-Industrial Ecozone,Agro-Industrial,Operating,"Sta. Filomena, San Mariano, Isabela ",San Mariano,San Mariano,PH023131000,Isabela,PH023100000,Region II,PH020000000
107,ECOPRIME  ,IT Center,Operating,"32nd Street corner 9th Avenue, Bonifacio Global City, Fort Bonifacio, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
108,Ecotower ,IT Center,Operating,"Lot 5, Block 2, 32nd Street corner 9th Avenue, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
109,EDSA Central IT Center,IT Center,Operating,"EDSA corner United Street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
110,EDSA Central IT Center 2,IT Center,Operating,"Along United street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
111,Embarcadero de Legazpi,Tourism,Operating,"Legazpi Port Area, Legaspi City ",Legaspi City,Legazpi City,PH050506000,Albay,PH050500000,Region V,PH050000000
112,EMI Special Economic Zone,Manufacturing,Operating,"Anabu II, Imus, Cavite",Imus,Imus City,PH042109000,Cavite,PH042100000,Region IV-A,PH040000000
113,eNGY Tech Building,IT Center,Operating,"H. Cortes Street, Banilad, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
114,eNTEC 2 Building ,IT Center,Operating,"Teresa Avenue, Nepo Commercial Complex, Barangays Sto. Rosario and Cutcut, Angeles City, Pampanga ",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000
115,eNTEC Building,IT Center,Operating,"Teresa Ave. cor. Don Juan Ave., Nepo Mart Commercial Complex, Angeles City, Pampanga",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000
116,ePLDT Ventus Libertad Building,IT Center,Operating,"418 Arayat Street corner Libertad Street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
117,EROS Building  ,IT Center,Operating,"Corners Real, Dr. V. Locsin & Cervantes Streets, Brgy. 3, Dumaguete City",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000
118,E-Square Information Technology Park ,IT Park,Operating,"Fort Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
119,Estancia Mall ,IT Center,Operating,"Capitol Commons, Meralco Avenue corner Shaw Boulevard, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
120,Eton Centris ,IT Park,Operating,"EDSA corner Quezon Avenue, Barangay Pinyahan, Diliman District, Quezon City",Diliman District,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
121,Eton Cyberpod Corinthian ,IT Park,Operating,"Ortigas Avenue corner Efipanio Delos Santos Avenue, Barangay Ugong Norte, Quezon City ",Barangay Ugong Norte,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
122,Exportbank Plaza Building,IT Center,Operating,"Exportbank Drive cor. Chino Roces Ave., Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
123,Fairview Terraces Corporate Center ,IT Center,Operating,"Maligaya Road, Fairview, Quezon City",Fairview,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
124,Felcris Centrale ,IT Center,Operating,"Quezon Boulevard, Barangay Bucana, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
