ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
141,Gateway Tower,IT Center,Operating,"Araneta Center, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
142,Gensan Economic Zone,Manufacturing,Operating,"Barangay Tambler, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000
143,GLAS Office Development,IT Center,Operating,"Opal Road, cor. Topaz and Ruby Road, Brgy. San Antonio, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
144,Global Trade Center ,IT Center,Operating,"1024 EDSA, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
145,Glorietta 1 BPO  ,IT Center,Operating,"Rizal Drive, Green Street and Hotel Drive, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
146,Glorietta 2 BPO ,IT Center,Operating,"Rizal Drive, Green Street and Hotel Drive, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
147,Glorietta 5  ,IT Center,Operating,"Office Drive, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
148,Golden Gate Business Park-Cavite Export Processing Zone,Manufacturing,Operating,"Brgy. Buenavista, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000
149,Golden Mile Business Park,Manufacturing,Operating,"Governor's Drive, Maduya, Carmona, Cavite",Carmona,Carmona,PH042104000,Cavite,PH042100000,Region IV-A,PH040000000
150,Green Tourism Ecozone - Pangulasian,Tourism,Operating,"Barangay Bebeladan, El Nido, Palawan",Palawan,El Nido,PH175312000,Palawan,PH175300000,Region IV-B,PH170000000
151,Greenfield Automotive Park,Manufacturing,Operating,"Don Jose, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000
152,GT Tower International,IT Center,Operating,"Ayala Ave. cor. H. V. Dela Costa St., Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
153,Hanston Square,IT Center,Operating,"Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
154,Harvester Corporate Center   ,IT Center,Operating,"58 P. Tuazon Boulevard corner 7th and 8th Avenue, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
155,HDMF-WTCI IT Tower  ,IT Center,Operating,"Mindanao Avenue, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
156,Hermosa Ecozone Industrial Park,Manufacturing,Operating,"Hermosa, Bataan",Bataan,Hermosa,PH030805000,Bataan,PH030800000,Region III,PH030000000
157,"HGS Cyberpark
(formerly HTMT Cyber Park)",IT Park,Operating,"86 E. Rodriguez Jr. Avenue, Barangay Ugong Norte, Quezon City",Barangay Ugong Norte,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
158,Hijo Special Economic Zone,Manufacturing,Operating,"Madaum, Tagum City, Davao del Norte",Tagum City,City of Tagum,PH112319000,Davao del Norte,PH112300000,Region XI,PH110000000
159,Horizon IT Park,IT Park,Operating,"Barangays Sto. Cristo and Kaybanban, San Jose Del Monte City, Bulacan ",San Jose Del Monte City,City of San Jose del Monte,PH031420000,Bulacan,PH031400000,Region III,PH030000000
160,HPI Corporate Center ,IT Center,Operating,"1026 EDSA, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
161,HVG Arcade IT Park ,IT Park,Operating,"HVG Arcade, Subangdaku, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
162,Iloilo Business Park,Tourism,Operating,"Old Airport, Iloilo City",Iloilo City,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
163,Iloilo Commercial Development Corp. Building ,IT Center,Operating,"Corner Avacena and Locsin Streets, Barangay North San Jose, Iloilo City",Barangay North San Jose,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
164,Iloilo Gateway Cyberscape,IT Center,Operating,"Barangay Mali-ao, Pavia, Iloilo ",Pavia,Pavia,PH063036000,Iloilo,PH063000000,Region VI,PH060000000
165,Iloilo Technohub,IT Park,Operating,"Riverside Boardwalk, Barangay San Rafael, Iloilo City",Barangay San Rafael,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
166,Inoza Tower,IT Center,Operating,"Block 32, Lots 8 and 11, 39th and 40th Streets, Bonifacio Global City, Fort Bonifacio, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
167,Insular Life Building ,IT Center,Operating,"6781 Ayala Avenue corner Paseo de Roxas, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
168,Insular Life Corporate Center  ,IT Center,Operating,"Life Drive, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
169,Irasan-Roxas Zanorte Special Economic Zone,Agro-Industrial,Operating,"Barangay Irasan, Municipality of Roxas, Zamboanga del Norte ",Municipality of Roxas,Roxas City,PH061914000,Capiz,PH061900000,Region VI,PH060000000
170,I-Square Building,IT Center,Operating,"Meralco Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
171,Jasaan Misamis Oriental Ecozone,Manufacturing,Operating,"Solana & Luz Banzon, Jasaan, Misamis Oriental",Jasaan,Jasaan,PH104311000,Misamis Oriental,PH104300000,Region X,PH100000000
172,Jazz IT Center ,IT Center,Operating,"Jupiter Street corner N. Garcia Street, Barangay Bel-Air, Makati City ",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
173,JELP Business Solution Center ,IT Center,Operating,"409 Shaw Boulevard, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
174,JESA Building    ,IT Center,Operating,"90 General Maxilom Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
175,JGC Philippines Building ,IT Center,Operating,"2109 Prime Street, Madrigal Business Park, Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
176,JMALL IT Center  ,IT Center,Operating,"A.S. Fortuna Street, Bakilid, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
177,John Hay Special Tourism Economic Zone,Tourism,Operating,"Baguio City, Benguet Province",Benguet Province,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
178,Jose Panganiban SEZ,Manufacturing,Operating,"Jose Panganiban, Camarines Norte",Camarines Norte,Iba,PH037105000,Zambales,PH037100000,Region III,PH030000000
179,JY Campos IT Centre,IT Center,Operating,"9th Avenue corner 30th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
180,JY Square IT Center ,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
181,JY Square IT Center II ,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
182,JY Square IT Center III ,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
183,Kamanga Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Brgy. Kamanga, Municipality of Maasim, Province of Sarangani ",Municipality of Maasim,Maasim,PH128004000,Sarangani,PH128000000,Region XII,PH120000000
184,Keppel Center    ,IT Center,Operating,"Cardinal Rosales Avenue corner Samar Loop, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
185,King’s Court IT Center  ,IT Center,Operating,"2129 Don Chino Roces Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
186,K-Pointe Technology Center  ,IT Center,Operating,"No. 691 Aurora Boulevard, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
187,KRC I.T. Zone ,IT Center,Operating,"Lopez Jaena Street, Subangdaku, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
188,"L & Y Plaza I, L & Y Plaza II, L & Y Plaza III",IT Center,Operating,"120 E. Rodriguez Jr. Avenue corner Ortigas Avenue, Brgy. Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
189,Laguna International Industrial Park,Manufacturing,Operating,"Ganado & Mamplasan, Biñan City, Laguna",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000
190,Laguna Technopark ,Manufacturing,Operating,"Sta. Rosa and Biñan City, Laguna",Laguna,City of Santa Rosa,PH043428000,Laguna,PH043400000,Region IV-A,PH040000000
191,Laguna Technopark Annex,Manufacturing,Operating,"Barangay Biñan, Biñan City, Laguna ",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000
192,Lakeside EvoZone ,IT Park,Operating,"Barangays Don Jose and Sto. Domingo, Sta. Rosa City, Laguna ",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000
193,LBRDC - Special Economic Zone [formerly Victoria Wave Special Economic Zone],Manufacturing,Operating,"Malaria, Tala, Caloocan City",Caloocan City,Caloocan City,PH137501000,"NCR, Third District",PH137500000,National Capital Region,PH130000000
194,Lexmark Plaza,IT Park,Operating,"Cebu Business Park, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
195,Lexmark Plaza III (formerly Creativo IT Center),IT Center,Operating,"Cebu Business Park, Cebu City, Province of Cebu",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
196,Leyte Industrial Development Estate,Manufacturing,Operating,"Isabel, Leyte",Leyte,Leyte,PH083729000,Leyte,PH083700000,Region VIII,PH080000000
197,Leyte Information Communication Tech. Park ,IT Park,Operating,"Brgy. Pawing, Palo, Leyte",Palo,Palo,PH083739000,Leyte,PH083700000,Region VIII,PH080000000
198,Leyte Mikyu  Economic Zone,IT Park,Operating,"Pawing, Palo, Leyte",Palo,Palo,PH083739000,Leyte,PH083700000,Region VIII,PH080000000
199,Light Industry & Science Park I,Manufacturing,Operating,"Diezmo, Cabuyao, Laguna",Cabuyao,Cabuyao City,PH043404000,Laguna,PH043400000,Region IV-A,PH040000000
200,Light Industry & Science Park II,Manufacturing,Operating,"Real & La Mesa, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
201,Light Industry & Science Park III,Manufacturing,Operating,"San Rafael & Sta Anastacia, Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000
202,Light Industry & Science Park IV,Manufacturing,Operating,"Barangays Bulihan, Luta Sur, Luta Norte, San Fernando, San Pedro West, and Poblacion, Malvar, Batangas",Malvar,Malvar,PH041017000,Batangas,PH041000000,Region IV-A,PH040000000
203,Lima Technology Center ,Manufacturing,Operating,"San Lucas, Bugtong na Pulo & Inosluban, Lipa City and Santiago & Payapa, Malvar, Batangas ",Malvar,Malvar,PH041017000,Batangas,PH041000000,Region IV-A,PH040000000
204,Limketkai Mall Module-2 BPO & Cyberpark Buildin,IT Center,Operating,"Lapasan, Cagayan De Oro City ",Cagayan De Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
205,LinkSy IT Park,IT Park,Operating,"Bantayan, Dumaguete City, Negros Oriental",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000
206,Lopue’s South Square IT Park,IT Park,Operating,"Araneta Street, Barangay Tangub, Bacolod City ",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
207,Lopue's East I. T. Center   ,IT Center,Operating,"Burgos Street coner Hilado National Highway, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
208,LP Information Technology Park,IT Park,Operating,"Jose Romero Sr. Street, Bagacay, Dumaguete City, Negros Oriental",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000
209,Luisa Avenue Square IT Center  ,IT Center,Operating,"Jacinto Extension corner Villamor Street, Davao City ",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
210,Luisita Industrial Park,Manufacturing,Operating,"San Miguel, Tarlac",Tarlac,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000
211,Lumina Point,IT Center,Operating,"Aguinaldo Highway corner Nueno Avenue, Tanzang Luma 1, Imus, Cavite ",Imus,Imus City,PH042109000,Cavite,PH042100000,Region IV-A,PH040000000
212,Luxur Plaza ITformation Centre   ,IT Center,Operating,"46 Lizares Avenue, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
213,Maayo Medical,Medical Tourism Center,Operating,"Barangay Alang-alang, Mandaue City, Cebu ",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
214,Mabuhay I.T. Park ,IT Park,Operating,"Barangay Lago, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000
215,Macroasia Ecozone,Manufacturing,Operating,"Nichols Field, NAIA, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
216,Mactan Economic Zone,Manufacturing,Operating,"Lapu-Lapu City, Mactan, Cebu",Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
217,Mactan Ecozone II,Manufacturing,Operating,"Basak, Lapu-lapu City, Mactan, Cebu",Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
218,Mall of Asia Arena Annex Bldg. – IT Center ,IT Center,Operating,"Coral Way corner J.W. Diokno Boulevard, Mall of Asia Complex, CBP-1A, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
219,Mango Square  ,IT Center,Operating,"Maxilom Avenue corner Juana Osmeña Street, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
220,Manila Harbour Center,Manufacturing,Operating,"District of Tondo, Manila City",Manila City,Tondo I / II,PH133901000,National Capital Region,PH133900000,National Capital Region,PH130000000
221,Manticao Ecozone Corporation SEZ,Manufacturing,Operating,"Barangay Poblacion, Manticao, Misamis Oriental",Manticao,Manticao,PH104318000,Misamis Oriental,PH104300000,Region X,PH100000000
222,Maria Cristina Building ,IT Center,Operating,"Along Osmeña Capitol Site, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
223,Market! Market!  ,IT Center,Operating,"Lot-C, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
224,Marvin Plaza Building  ,IT Center,Operating,"2153 Chino Roces Avenue corner Herrera Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
225,Matina IT Park,IT Park,Operating,"Mac Arthur Highway, Matina, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
226,McKinley Exchange Corporate Center    ,IT Center,Operating,"McKinley Road corner Epifanio Delos Santos Avenue (EDSA), Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
227,McKinley Hill Cyber Park ,IT Park,Operating,"Fort Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
228,McKinley West,IT Park,Operating,"South Bonifacio District, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
229,MDC 100         ,IT Center,Operating,"E. Rodriguez Jr. Avenue (C-5 Road) cor. Eastwood Avenue, Barangay Bagumbayan, Quezon City",Barangay Bagumbayan,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
230,Mega One Bldg.(formerly PLDT Sampaloc Building),IT Center,Operating,"España Boulevard, Rotonda, Quezon City",Rotonda,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
231,Menarco Tower,IT Center,Operating,"Lot 8, Block 5, 32nd Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
232,MetroCas Industrial Estates-Special Economic Zone,Manufacturing,Operating,"Barangay Calibuyo, Tanza, Cavite",Tanza,Tanza,PH042120000,Cavite,PH042100000,Region IV-A,PH040000000
233,Milestone at Fifth Avenue,IT Center,Operating,"Lot 2, Block 16, 4th and 5th Avenues, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
234,Millennium Industrial Economic Zone,Manufacturing,Operating,"Barangays Calumpang and Tambler, General Santos City, South Cotabato",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000
235,Misibis Resorts and Estates,Tourism,Operating,"Cagraray Island, Barangay Misibis, Bacacay, Albay",Bacacay,Bacacay,PH050501000,Albay,PH050500000,Region V,PH050000000
236,MJ Corporate Plaza,IT Center,Operating,"2310 Pasong Tamo Extension, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
237,Monfort Information Technology Building,IT Center,Operating,"22nd Street, Lacson, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
238,Montage [formerly Abiathar Commercial Complex],IT Center,Operating,"Archbishop Reyes Avenue, Cebu City ",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
239,MRI Ecozone,Manufacturing,Operating,"Sabang,  Danao  City, Cebu",Danao  City,Danao City,PH072223000,Cebu,PH072200000,Region VII,PH070000000
240,MSE Center ,IT Park,Operating,"Ayala Triangle, Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
241,Multinational Bancorporation Centre  ,IT Center,Operating,"6805 Ayala Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
242,Naga City Technology Park,IT Park,Operating,"Barangay Triangulo, Naga City",Naga City,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000
243,Naga Valley Industrial Park,Manufacturing,Operating,"Barangay Cantao-an, Naga, Cebu",Naga,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000
244,Negros First Cybercentre  ,IT Center,Operating,"Barangay 39, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
245,Neutrinus Information Technology Center  ,IT Center,Operating,"254 Magsaysay Avenue, Baguio City",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
246,New Jubilee Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Barangay Hilapnitan, Municipality of Baybay, Province of Leyte",Municipality of Baybay,City of Baybay,PH083708000,Leyte,PH083700000,Region VIII,PH080000000
247,Newport City CyberTourism Zone,Tourism,Operating,"Sales Road corner Andrews Avenue, Villamor Airbase, Pasay City ",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
248,Nex Tower,IT Center,Operating,"6786 Ayala Avenue, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
249,Niscom IT Building   ,IT Center,Operating,"No. 41 Commonwealth Avenue, Barangay Holy Spirit, Quezon City",Barangay Holy Spirit,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
250,Northgate Cyber Zone ,IT Park,Operating,"Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
251,NorthLuzon Aero Industrial Park,Manufacturing,Operating,"Barangay Linmansangan, Binalonan, Pangasinan ",Binalonan,Binalonan,PH015512000,Pangasinan,PH015500000,Region I,PH010000000
252,NYK-TDG I.T. Park,IT Park,Operating,"Knowledge Avenue, Carmel Town, Canlubang, Calamba City, Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
253,Oakridge I.T. Center Towers,IT Center,Operating,"A.S. Fortuna, Banilad, Mandaue City ",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
254,Oakridge Information Technology Center   ,IT Center,Operating,"A.S. Fortuna Street, Banilad, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
255,Octagon IT Center  ,IT Center,Operating,"San Miguel Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
256,Okada Resorts (formerly Eagle I Entertainment City),Tourism,Operating,"Barangays Tambo and Dongalo, Parañaque City ",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
257,One Ayala Avenue,IT Center,Operating,"Epifanio Delos Santos Avenue corner Ayala Avenue, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
258,One Corporate Centre ,IT Center,Operating,"Meralco Avenue corner Julia Vargas Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
259,One Felicity Center ,IT Center,Operating,"Commonwealth Avenue, Barangay Holy Spirit, Quezon City",Barangay Holy Spirit,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
260,One Global Place   ,IT Center,Operating,"Lot 1, Bock 9, 5th Avenue corner 25th Street, Bonifacio South District, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
261,One Griffinstone,IT Center,Operating,"Commerce Ave. cor. Spectrum, Filinvest Corp. City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
262,One Julia Vargas Building  ,IT Center,Operating,"No.1 Julia Vargas Avenue corner Meralco Avenue, Barangay Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
263,One San Miguel Avenue Condominium   ,IT Center,Operating,"Shaw Boulevard corner San Miguel Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
264,One Sanparq   ,IT Center,Operating,"San Antonio Park Square, Lacson Street, Mandalagan, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
265,One World Place ,IT Center,Operating,"Block 5, 32nd Street, City Center North, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
266,Orient Square IT Center  ,IT Center,Operating,"Along Emerald Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
267,Ortigas Technopoint Tower 1&2    ,IT Center,Operating," No. 1, Doña Julia Vargas Street corner Meralco Avenue, Barangay Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
268,Pacific Information Technology Center   ,IT Center,Operating,"Pascor Drive, Brgy. Sto. Nino, Paranaque City",Paranaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
269,Pacific Star Building   ,IT Center,Operating,"Corners Sen. Gil Puyat and Makati Avenues, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
270,Palayan City Government Center & Central Business Hub,IT Park,Operating,"Barangay Singalat, Palayan City, Nueva Ecija",Nueva Ecija,Palayan City,PH034919000,Nueva Ecija,PH034900000,Region III,PH030000000
271,Pamalican Island Tourism Ecozone,Tourism,Operating,"Barangay Manamok, Cuyo, Palawan",Palawan,Cuyo,PH175310000,Palawan,PH175300000,Region IV-B,PH170000000
272,Pampanga Economic Zone,Manufacturing,Operating,"Barangay Pulong Maragul, Angeles City, Pampanga",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000
273,Pangasinan Industrial Park II,Manufacturing,Operating,"Alos, Alaminos &  Tagudin, Mabini, Pangasinan",Mabini,Mabini,PH118203000,Compostela Valley,PH118200000,Region XI,PH110000000
274,PANORAMA  ,IT Center,Operating,"Block 9, City Center North, Fort Bonifacio, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
275,Panorama TechnoCenter   ,IT Center,Operating,"1029 EDSA, Veterans Village, Project 7, Quezon City ",Project 7,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
276,PBCom Tower  ,IT Center,Operating,"Ayala Avenue cor. Herrera Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
277,PDC Information Techno Park,IT Park,Operating,"Barangay Tambubong, San Rafael, Bulacan",San Rafael,San Rafael,PH063042000,Iloilo,PH063000000,Region VI,PH060000000
278,People's Technology Complex,Manufacturing,Operating,"Maduya, Carmona, Cavite",Carmona,Carmona,PH042104000,Cavite,PH042100000,Region IV-A,PH040000000
279,Peoplesupport Center IT Building    ,IT Center,Operating,"Amorsolo Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
280,Phil. BXT Corp. Tourism Economic Zone,Tourism,Operating,"Barangay Maribago, Lapu-Lapu City",Lapu-Lapu City,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
281,Philamlife  I.T. Building  ,IT Center,Operating,"Acacia Avenue, Madrigal Business Park, Brgy. Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
282,Philamlife IT Tower   ,IT Center,Operating,"8767 Paseo de Roxas, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
283,Philippine Packing Agricultural Export Processing Zone ,Agro-Industrial,Operating,"Bugo, Cagayan De Oro City",Cagayan De Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
